"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 5","typography_body-m__xgxZ_ 6","typography_body-m__xgxZ_ 7","typography_body-m__xgxZ_ 8"
"DU","https://fr.trustpilot.com/users/6256eb16613f560013ae4a0f","Durant","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","13 avr. 2022","https://fr.trustpilot.com/reviews/6256ee82c7628b203bab9d46","parure de drap commandée sur le site de…","parure de drap commandée sur le site de la Redoute.Une fois la parure lavée en suivant les instructions, celle-ci est immettable tellement le tissu est d'une raideur inadmissible pour des draps. j'ai refait 2 lavages, laissé tremper mais rien n'y fait, la raideur est toujours la......le site 1001 kdo refuse de me rembourser car j'ai lavé les articles..... Mais je rêve car c'est une fois lavé que la vrai nature du tissu apparait. A fuir absolument dès que vous voyez ce revendeur!!Quand à la Redoute ce n'est pas mieux elle est aux abonnés absents. Je suis tellement déçue après tant d'année. Je ne commanderai plus du tout à la Redoute.","13 avril 2022","Date de l'expérience:","Utile","Partager","1"
"LÉ","https://fr.trustpilot.com/users/6225b3776edfa70012d875f6","Léa","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","9 avr. 2022","https://fr.trustpilot.com/reviews/6251bfce2b3c3c43cfcdee86","Parfait","Parfait : livraison rapide et possibilité de retour avec facilité ( alors que l erreur de couleur était de mon fait) nouvelle livraison dans les 48h et remboursement dans la foulée ! Process ultra efficace. Le siège reçu est conforme à la commande et de bonne qualité .Bravo La Redoute !","02 avril 2022","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/59f143550000ff000ad9b2d4","velvet vel","14 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","Actualisé le 7 avr. 2022","https://fr.trustpilot.com/reviews/624ea0a32b3c3c43cfcb5b94","J’ai acheté un fauteuil ampm il y a…","J’ai acheté un fauteuil ampm il y a deux ans achat à 329 euros .. le même aujourd’hui 659 euros même avec la réduction jai acheté mon deuxième à 449 euros ! Les prix AMPM ont plus que doublé alors que la qualité reste la même c’est honteux ..","07 avril 2022","Date de l'expérience:","Utile","Partager",""
"MA","https://fr.trustpilot.com/users/61fc0b86f0048b00128d815d","Marie","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","7 avr. 2022","https://fr.trustpilot.com/reviews/624e127c2b3c3c43cfcb1b78","Très sincèrement je commande beaucoup…","Très sincèrement je commande beaucoup sur internet et pour moi, La Redoute est le meilleur. Rapidité, très bonne communication, larges options de livraisons. Des codes promos, des bons plans... Parfait pour moi et je recommande vivement","05 avril 2022","Date de l'expérience:","Utile","Partager",""
"BE","https://fr.trustpilot.com/users/624c62d32bfe3d0012eed443","Bessieu","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","5 avr. 2022","https://fr.trustpilot.com/reviews/624c62ecc7628b203ba35b69","Expérience catastrophique","J ai commandé deux meubles à la redoute. la date de livraison était prévue le 30 mars. Je n' ai rien reçu , j ai donc appelé le service client qui m a dit d être patiente et que le livreur allait m appeler ..ce n a pas été le cas.sachant que mes meubles étaient bien arrivés au centre de distribution le 23 mars.  Ensuite le service client m a dit porter une réclamation au service logistique , qui reviendrait vers moi le 4 avril... J ai attendu toute la journée. En parallèle le service client me dit que mes meubles sont bien au centre de distribution et que le livreur va m appeler...A 18 h15 le service logistique m apelle, je loupe l appel . J ai un message qui me dit qu il y a un problème avec ma commande , qu elle repart à la redoute, qu on me propose un remboursement et renouvellement de commande ! Alors que le service client m a dit le jour même que ma commande avait été récupérée par le livreur et qu il allait m appeler ! Je rappelle 2 min après , et tombe sur le service client qui me dit qu il est impossible de me passer le service logistique..qu elle me rappellera le soir ou le demain matin...pas d appel le soir et donc ce matin...je rappelle à midi et on me redit elle va vous rappeler...je loupe l appel de 16 h25 car j' étais au travail, je rappelle 5 min après et on me redit qu on ne peut pas me la passer....un remboursement a été lancé...sans en avoir parler avec moi ..et on me propose de renouveler ma commande ! Je demande une preuve écrite du remboursement...et là on m envoie un mail en me disant que le remboursement de 512 euros a été demandé ....alors que dans ma commande il y a deux meubles et qu elle s élève à 1024 euros ! Je suis écoeurée par ce manque de professionnalisme , de respect et de compétences du personnel de l a redoute.","05 avril 2022","Date de l'expérience:","Utile","Partager","3"
"TP","https://fr.trustpilot.com/users/6249cc65f503fd001244de27","M","1 avis","CH","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","3 avr. 2022","https://fr.trustpilot.com/reviews/6249cc70c7628b203ba14909","SAV affreux! Fuyez!","En 2020, je commande une commode 2 tiroirs Crawley. A la réception, le meuble apparaît tout de suite très fragile, surtout les rails des tiroirs qui sont très fins. En 2022, comme prévu, un rail se casse. Je contacte le SAV pour leur demander un rail de rechange. On me répond que c'est impossible car je suis hors garanti. Quel est le rapport?! Je ne demande ni un remboursement ni un échange; j'ai même proposé de leur acheter le rail. Rien à faire. Le seul geste commercial proposé est une bon de 20e mais non je ne rachèterai rien chez vous La Redoute. Le meuble est lui-même en bon état, je suis sensée le jeter pour un malheureux rail... Surtout qu'il s'agit d'un produit La Redoute Collection ce qui veut dire qu'ils en ont pleins en usine. Donc lamentable en tout point !","03 avril 2022","Date de l'expérience:","Utile","Partager","1"
"CF","https://fr.trustpilot.com/users/622a12190347f20012b0439d","Catherine Fauvel","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","Actualisé le 2 avr. 2022","https://fr.trustpilot.com/reviews/62484cfdc7628b203ba06565","J’ai commandé plusieurs articles…","J’ai commandé plusieurs articles « home » pour mon nouveau local et je suis très satisfaite de la qualité des articles, du prix et de la rapidité de livraison. Pour un article, j’ai eu affaire au service Sav car je pensais qu’il manquait un carton (que j’ai retrouvé dans mes affaires un peu plus tard) et j’ai été agréablement surprise par la prise en charge de ma demande et la qualité de service. Je ne peux que recommander car je pensais que c’était des articles de moyenne gamme mais la redoute a su évoluer et proposer des articles plutôt haut de gamme pour des prix intéressants. Mon décorateur ne jure que par eux. Bravo.","31 mars 2022","Date de l'expérience:","Utile","Partager","1"
"JY","https://fr.trustpilot.com/users/624708c39866e50013b65aad","Jiayun Ye","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","1 avr. 2022","https://fr.trustpilot.com/reviews/624708f42b3c3c43cfc5b59e","La service SAV est une catastrophe","La service SAV est une catastrophe ! J’ai mis un étoile parce que je ne peux pas mettre moins.J’ai commandé un canapé en octobre 2021 à la boutique, j’ai reçu le produit 2 mois après avant Noël, mais l’angle est abîmé à cause de la livraison ! ( Donc , pas de canapé pendant le Noël ! Quel plaisir d’accueillir toute la famille sans canapé!)Pour demander de me livrer un nouveau, il faut que je retourne l’ancien et refasse une commande, et attendre 2 mois de plus. Ok! J’attends! Après 2 mois attente, le nouveau est arrivé, mais les housses sont tachées ! Incroyable !Je ne veux plus attendre 2 mois pour un canapé entier, donc j’ai proposé de m’envoyer les housses pour les remplacer. Logiquement, si un canapé peut se faire dans 2 mois, les housses n’ont pas besoin de prendre 2 mois.Alors, pendant le mois de mars, SAV m’a appelé 2 fois et m’a confirmé les housses seront livrés dans un mois( donc fin de mars 2022 au plus tard début d’avril 2022).Le 31/03, SAV m’a appelé pour me dire qu’il faut attendre encore un mois pour les housses!J’ai commandé le canapé au début de ma grossesse, et là je vais accoucher dans 1 mois. L’histoire de canapé n’est toujours pas fini. Après l’échange avec SAV, je suis tellement en colère, je finis par rendre en URGENCE !Non, n’achetez rien chez EUX, ni à la boutique, ni sur leur site! Vous avez d’autres marques pour trouver votre canapé de rêve !","01 avril 2022","Date de l'expérience:","Utile","Partager","2"
"ST","https://fr.trustpilot.com/users/61727e925f33c50014c2f4d7","Sarah Taha","7 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","29 mars 2022","https://fr.trustpilot.com/reviews/6242d973f144199fc9cd3edd","La redoute m'a fait tourner en rond 1…","La redoute m'a fait tourner en rond 1 mois en me promettant qu'ils feraient quelque chose pour une paire de chaussures enfants Kickers que j'ai reçu avec défaut de fabrication, après un mois ils me proposent un bon d'achat de 5 euros sur leur site. Quelle honte ! Plus jamais.","29 mars 2022","Date de l'expérience:","Utile","Partager",""
"SL","https://fr.trustpilot.com/users/624235090528640012b7c4b8","Sofia L.","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","29 mars 2022","https://fr.trustpilot.com/reviews/624235a0f144199fc9cce94b","Très mauvaise expérience","Très mauvaise expérience. J’ai commandé un dressing sur le site La Redoute et il manquait la moitié des pièces au montage. Impossible de tout démonter et surtout impossible de recevoir les piece manquantes. 6 semaines d’échanges qui n’en finissent pas avec le SAV de la Redoute, des dizaines de photos d’envoyées y compris des détails et références des pièces et ils ne veulent toujours pas m’envoyer les pièces manquantes (2 tiroirs, et plusieurs tablettes). Je ne commanderai plus jamais sur ce site et vous le déconseille vivement aussi.","31 janvier 2022","Date de l'expérience:","Utile","Partager",""
"SB","https://fr.trustpilot.com/users/6241e6b069f17900122da3d3","Sylvain Biard","1 avis","BE","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","28 mars 2022","https://fr.trustpilot.com/reviews/6241e6b9f144199fc9cc9c45","Livraisons catastrophiques","Même si les produits sont souvent de qualités, les systèmes de livraisons sont catastrophiques. Receptions d'objets cassés, colis renvoyés sans tentative de livraison et retours au stock facturés ! A fuir.","28 mars 2022","Date de l'expérience:","Utile","Partager",""
"MR","https://fr.trustpilot.com/users/60cf03188360880019b5432e","Marianne Ronvaux","8 avis","BE","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","27 mars 2022","https://fr.trustpilot.com/reviews/62402167843a1a3bf6c7a04e","Cliente en ligne depuis deux ans et…","Cliente en ligne depuis deux ans et tout se passe toujours très bien.  Livraison le lendemain ou le surlendemain du jour de validation de la commande.  Sans frais.  Pas de mauvaises surprises.  Je n'ai dû ni échanger ni renvoyer. Facture obtenue sans difficultés.  Excellent service.","27 mars 2022","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/623a0a28f35cf600135c894c","Eddy Ben Chaabane","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","22 mars 2022","https://fr.trustpilot.com/reviews/623a0a34ab0a5e0f74805093","1/5 car je ne peux pas mettre 0/5","1/5 car je ne peux pas mettre 0/5. Commande de canapés passée en novembre 2021. Prévue pour janvier 2022. Nous sommes en mars 2022 et chaque semaine on me dit ""La semaine prochaine vous serez livrés"". Je viens de les avoir au téléphone car je devais être livré ""cette semaine""... Cette fois-ci ils me disent ""Au mieux le 10 avril"".Fuir la Redoute absolument. Ne commandez jamais de chez eux.","22 mars 2022","Date de l'expérience:","Utile","Partager",""
"CE","https://fr.trustpilot.com/users/6238ab3856b9e300125d671e","Celine","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","21 mars 2022","https://fr.trustpilot.com/reviews/6238ab43ab0a5e0f747f2e80","MAUVAISE EXPÉRIENCE","La commande du 10 février a été commandée le 10 FEVRIER , reçue le 18 FEVRIER,  retournée le 21 après un échange avec le service client de la redoute car la robe a été commandée en taille 46...reçue en 38....je l'ai envoyée par colissimo à mes frais à l'adresse indiquée sur le bon de retour comme indiqué par le service client....A ce jour pas de trace du colis ni de remboursement .Et on m'envoie aujourd'hui le 18 MARS SEULEMENT UN BON DE RETOUR A IMPRIMER.....C'EST INADMISSIBLE.  MAIS JE NE COMPTE PAS EN RESTER LA SI RIEN N'EST FAIT. C'EST VRAIMENT PRENDRE LES CONSOMMATEURS POUR DES IMBÉCILES.D'AUTANT QUE LUNDI 14 MARS , JAI EU UNE PERSONNE AU TÉL QUI M'A AFFIRMÉ QUE JE SERAIS REMBOURSÉE DANS LA SEMAINE AVEC UN MAIL DE CONFIRMATION DE REMBOURSEMENT....et vendredi dernier on me dit que je ne peux être remboursée.... 1ere et dernière commande sur la redoute . J'ai perdu 30 euros + colissimo c'est inadmissible","21 mars 2022","Date de l'expérience:","Utile","Partager",""
"FR","https://fr.trustpilot.com/users/6235bc37dac5c800120df67a","François","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","19 mars 2022","https://fr.trustpilot.com/reviews/6235bc4a924ebaa0caf0a782","J’ai acheté un buffet (Harlem)…","J’ai acheté un buffet (Harlem) quasiment 500€. Les trous pour les visses  ne sont même pas faits devoir trafiquer un meuble qu’on vient d’acheter ça gonfle  ! En plus de ça j’ai profité d’une vente soit disant flash, qui devait se terminer 10h après. Je viens d’aller voir, la vente flash y est toujours, le compteur revient à zéro. Je ne suis pas sûr que ça soit légal je vais voir avec la DGCCRF je pense.","19 mars 2022","Date de l'expérience:","Utile","Partager",""
"MI","https://fr.trustpilot.com/users/52c5366800006400015c8813","MissB","6 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","19 mars 2022","https://fr.trustpilot.com/reviews/6235ac8a4842703252b3c5c7","Commande (un tablier d'école de marque…","Commande (un tablier d'école de marque la redoute) livrée rapidement en 2 jours en point relais. Qualité Parfaite. J'ai été agréablement surprise.","10 mars 2022","Date de l'expérience:","Utile","Partager",""
